layer,module,prefix,rows,cols,fro_norm,mean_abs,q50_abs,q90_abs,q95_abs,q99_abs,max_abs,sparsity_below_epsilon
0,q_proj,base_model.model.model.layers.0.self_attn.q_proj,4608,4608,0.16433878242969513,2.6437784981681034e-05,2.016164580709301e-05,5.7035071222344413e-05,7.304934842977673e-05,0.00011293743591522798,0.000342018436640501,0.027748720720410347
0,k_proj,base_model.model.model.layers.0.self_attn.k_proj,512,4608,0.05046406388282776,2.391461021034047e-05,1.7713926354190335e-05,5.175265687284991e-05,6.76096897223033e-05,0.00010827268852153793,0.00027642372879199684,0.0313076451420784
0,v_proj,base_model.model.model.layers.0.self_attn.v_proj,512,4608,0.06318314373493195,3.0357994546648115e-05,2.265807597723324e-05,6.682774983346462e-05,8.483781857648864e-05,0.00012882657756563276,0.000354288233211264,0.024988386780023575
0,o_proj,base_model.model.model.layers.0.self_attn.o_proj,4608,4608,0.21883490681648254,3.5446933907223865e-05,2.6866739062825218e-05,7.574749906780198e-05,9.641059295972809e-05,0.00014473195187747478,0.0005162205779924989,0.020578738301992416
1,q_proj,base_model.model.model.layers.1.self_attn.q_proj,4608,4608,0.14780089259147644,2.373875759076327e-05,1.8059101421386003e-05,5.131810758030042e-05,6.544749339809641e-05,0.00010025667870650068,0.0004029944830108434,0.030915578827261925
1,k_proj,base_model.model.model.layers.1.self_attn.k_proj,512,4608,0.03921071067452431,1.9884204448317178e-05,1.6155565390363336e-05,4.173334673396312e-05,5.0962695240741596e-05,7.077783084241673e-05,0.00015146424993872643,0.0338643379509449
1,v_proj,base_model.model.model.layers.1.self_attn.v_proj,512,4608,0.06204910948872566,3.017189010279253e-05,2.3143576981965452e-05,6.487916107289493e-05,8.233873086282983e-05,0.000123568854178302,0.0003885932092089206,0.0239393450319767
1,o_proj,base_model.model.model.layers.1.self_attn.o_proj,4608,4608,0.24791570007801056,4.020677806693129e-05,3.103925700997934e-05,8.692465780768543e-05,0.00011034437193302438,0.00016584608238190413,0.0005412290920503438,0.01807982847094536
2,q_proj,base_model.model.model.layers.2.self_attn.q_proj,4608,4608,0.13355855643749237,2.1895677491556853e-05,1.726703339954838e-05,4.722421363112517e-05,5.96809150010813e-05,8.882023394107819e-05,0.00027519595460034907,0.032303184270858765
2,k_proj,base_model.model.model.layers.2.self_attn.k_proj,512,4608,0.03802843391895294,1.918353336805012e-05,1.5467123375856318e-05,4.074939715792425e-05,4.9936257710214704e-05,6.949368980713189e-05,0.00016039983893278986,0.035551708191633224
2,v_proj,base_model.model.model.layers.2.self_attn.v_proj,512,4608,0.07521996647119522,3.601090065785684e-05,2.6854871975956485e-05,7.906858809292316e-05,0.00010148554429179057,0.00015473476378247142,0.00040724154678173363,0.0211003627628088
2,o_proj,base_model.model.model.layers.2.self_attn.o_proj,4608,4608,0.29977530241012573,4.5482116547646e-05,3.036822090507485e-05,0.00010390672832727432,0.00013793785183224827,0.00021654213196597993,0.0007395913125947118,0.01934395357966423
3,q_proj,base_model.model.model.layers.3.self_attn.q_proj,4608,4608,0.1756129413843155,2.7561327442526817e-05,2.00535032490734e-05,6.067952199373394e-05,7.928060949780047e-05,0.00012453700765036047,0.0004055364115629345,0.028265446424484253
3,k_proj,base_model.model.model.layers.3.self_attn.k_proj,512,4608,0.049004677683115005,2.4322849640157074e-05,1.9097162294201553e-05,5.207488720770925e-05,6.505546480184421e-05,9.353629138786346e-05,0.0002536826650612056,0.028775956481695175
3,v_proj,base_model.model.model.layers.3.self_attn.v_proj,512,4608,0.09032794088125229,4.242725481162779e-05,3.059627488255501e-05,9.445264731766656e-05,0.00012288712605368346,0.00019149828585796058,0.0005733969155699015,0.01881832629442215
3,o_proj,base_model.model.model.layers.3.self_attn.o_proj,4608,4608,0.31925368309020996,4.987711145076901e-05,3.579190160962753e-05,0.00011159178393427283,0.00014534666843246669,0.00022388348588719964,0.0007348651415668428,0.01609882339835167
4,q_proj,base_model.model.model.layers.4.self_attn.q_proj,4608,4608,0.20407624542713165,3.238183126086369e-05,2.3711083485977724e-05,7.190471660578623e-05,9.259803482564166e-05,0.00014126976020634174,0.0004130148736294359,0.023936189711093903
4,k_proj,base_model.model.model.layers.4.self_attn.k_proj,512,4608,0.06801043450832367,3.370938065927476e-05,2.637253601278644e-05,7.255475065903738e-05,9.030296496348456e-05,0.00012973439879715443,0.0003418856067582965,0.020999060943722725
4,v_proj,base_model.model.model.layers.4.self_attn.v_proj,512,4608,0.10515329986810684,4.96330285386648e-05,3.603092773118988e-05,0.0001105989285861142,0.00014208567154128104,0.00021819531684741378,0.0006653211312368512,0.01656680554151535
4,o_proj,base_model.model.model.layers.4.self_attn.o_proj,4608,4608,0.3525775074958801,5.4316496971296147e-05,3.75539566448424e-05,0.00012440848513506353,0.00016347470227628946,0.00024908152408897877,0.0008698688470758498,0.015775421634316444
5,q_proj,base_model.model.model.layers.5.self_attn.q_proj,4608,4608,0.24705073237419128,3.881152224494144e-05,2.7772015528171323e-05,8.597710984759033e-05,0.00011145637836307287,0.000172268453752622,0.0006355551886372268,0.0204001534730196
5,k_proj,base_model.model.model.layers.5.self_attn.k_proj,512,4608,0.07648520916700363,3.5051598388236016e-05,2.516865606594365e-05,7.57434536353685e-05,0.00010093438322655857,0.00017412407032679766,0.00047279178397729993,0.022308349609375
5,v_proj,base_model.model.model.layers.5.self_attn.v_proj,512,4608,0.10742966830730438,5.024447091273032e-05,3.573944923118688e-05,0.0001137715662480332,0.00014749891124665737,0.00022403322509489954,0.0006625937530770898,0.0162209402769804
5,o_proj,base_model.model.model.layers.5.self_attn.o_proj,4608,4608,0.34420886635780334,5.3385127102956176e-05,3.714604099513963e-05,0.0001199057005578652,0.00015759358939249068,0.000243882997892797,0.0008864653646014631,0.015499680303037167
6,q_proj,base_model.model.model.layers.6.self_attn.q_proj,4608,4608,0.24160394072532654,3.725978240254335e-05,2.653697447385639e-05,8.365199028048664e-05,0.00011099089169874787,0.00017667711654212326,0.0006370936171151698,0.02169027365744114
6,k_proj,base_model.model.model.layers.6.self_attn.k_proj,512,4608,0.0775400698184967,3.68886067008134e-05,2.710203261813149e-05,8.134909876389429e-05,0.00010519872012082487,0.00016118398343678564,0.0004527799610514194,0.02083841897547245
